location_id,latitude,longitude
"1-10000792582",53.502289,-1.178815
"1-10000812939",53.344289,-3.00302
"1-10000813008",53.557295,-2.298458
"1-1000210669",50.857307,0.561989
"1-1000401911",51.441104,0.002361
"1-10004712353",51.522143,0.556509
"1-10005690253",54.288338,-0.408494
"1-9753625278",54.288338,-0.408494
"1-10005776421",50.355615,-4.702118
"1-1000587219",50.721531,-3.508068
"1-10006311414",53.387183,-2.352958
"1-9266579272",53.387183,-2.352958
"1-10006353802",51.450094,-0.154684
"1-10006628770",51.890085,0.910796
"1-10006700008",50.858856,-0.569748
"1-10010612053",51.295495,-0.525645
"1-10010950498",53.195946,-2.87455
"1-14808825676",53.195946,-2.87455
"1-6739393797",53.195946,-2.87455
"1-6739393864",53.195946,-2.87455
"1-6739393931",53.195946,-2.87455
"1-10011093419",53.642134,-1.805461
"1-10011857885",52.565183,-0.241346
"1-10011976482",53.363251,-2.898664
"1-10012064243",53.560852,-2.36974
"1-10012177836",51.582854,0.481273
"1-10012224980",50.856771,0.481077
"1-10012729010",51.66325,-0.058019
"1-10015733020",51.522424,-0.140561
"1-10016728864",53.408703,-2.965031
"1-10016894058",52.533413,-1.886335
"1-10017209067",52.997063,-2.188242
"1-10017508735",54.869704,-2.931449
"1-1001764404",50.956288,-0.139426
"1-1001764472",53.778139,-3.025127
"1-10018083482",51.729587,0.472022
"1-10018103602",52.649879,-1.206865
"1-641246619",52.649879,-1.206865
"1-10018536465",51.835079,-2.273851
"1-1001911572",51.507459,-0.222272
"1-10019352865",52.606641,1.330691
"1-1002242875",51.481,-2.513507
"1-118415934",51.481,-2.513507
"1-2695628155",51.481,-2.513507
"1-9287541315",51.481,-2.513507
"1-1002254715",51.582099,0.453055
"1-11805492280",51.582099,0.453055
"1-12560926771",51.582099,0.453055
"1-3608159191",51.582099,0.453055
"1-4043122731",51.582099,0.453055
"1-490195165",51.582099,0.453055
"1-10022600059",51.593515,-0.2014
"1-10023053398",51.518795,-0.165933
"1-18146234575",51.518795,-0.165933
"1-10023216025",50.808119,-4.555151
"1-10023785774",52.145137,-0.529962
"1-10024242782",51.309998,-0.333607
"1-10615519904",51.309998,-0.333607
"1-7699543356",51.309998,-0.333607
"1-1002692043",53.550139,-1.465068
"1-125875549",53.550139,-1.465068
"1-4155516969",53.550139,-1.465068
"1-10040354180",51.516626,-0.140134
"1-1004508435",52.399857,-1.989234
"1-1004589685",53.548572,-2.726982
"1-10046606585",53.044087,-2.236938
"1-112955860",53.044087,-2.236938
"1-10047557649",50.382082,-4.160928
"1-10048036915",51.388094,-0.05713
"1-10048285797",52.912987,-0.632561
"1-10048352203",50.870714,0.551893
"1-7966366914",50.870714,0.551893
"1-10048396988",51.082585,1.181404
"1-10048446564",50.390533,-4.142207
"1-10048660596",52.049624,-2.687264
"1-1004909835",52.850285,-1.566835
"1-10049925032",51.361427,-0.191718
"1-1005257175",53.456712,-1.147389
"1-10052643347",53.612711,-1.151447
"1-2700066903",53.612711,-1.151447
"1-10052707705",52.535672,-2.419253
"1-10052861482",50.90088,-1.397273
"1-12119153983",50.90088,-1.397273
"1-12378325484",50.90088,-1.397273
"1-127105507",50.90088,-1.397273
"1-1307208679",50.90088,-1.397273
"1-5623118716",50.90088,-1.397273
"1-10052865046",52.642224,-1.692158
"1-10054102934",52.642224,-1.692158
"1-10057845166",53.430093,-2.983095
"1-10057850179",53.641858,-2.106461
"1-10059930460",51.464501,-0.156449
"1-10060134085",52.449061,-0.107214
"1-10060219882",50.814066,-0.404322
"1-10061087214",51.674548,-0.022144
"1-11414735972",51.674548,-0.022144
"1-1298305113",51.674548,-0.022144
"1-2834905533",51.674548,-0.022144
"1-3473183395",51.674548,-0.022144
"1-7601507139",51.674548,-0.022144
"1-9934217005",51.674548,-0.022144
"1-10063367233",51.534847,-0.297899
"1-10063404913",53.030102,-2.245152
"1-2559584701",53.030102,-2.245152
"1-10064258273",51.29555,0.441748
"1-1921107882",51.29555,0.441748
"1-10064330172",51.279497,-1.067969
"1-13376619635",51.279497,-1.067969
"1-3171798919",51.279497,-1.067969
"1-8255606896",51.279497,-1.067969
"1-9115571469",51.279497,-1.067969
"1-10064352642",52.697225,-2.010089
"1-4735822457",52.697225,-2.010089
"1-10064549975",52.395392,-1.816499
"1-10064887488",52.112456,0.177307
"1-11165425608",52.112456,0.177307
"1-10064910062",51.535609,0.731917
"1-10064933957",50.660789,-1.150111
"1-19415944915",50.660789,-1.150111
"1-417548790",50.660789,-1.150111
"1-4247022491",50.660789,-1.150111
"1-10065278140",51.76616,-0.741574
"1-10065481825",53.502989,-1.127843
"1-13943134382",53.502989,-1.127843
"1-14583931545",53.502989,-1.127843
"1-6373229687",53.502989,-1.127843
"1-10065650875",50.481676,-3.775004
"1-10066275025",50.783171,-0.68858
"1-1006660964",52.039945,0.745324
"1-10073603765",53.570614,-2.295321
"1-10079197954",52.336896,1.668868
"1-10079439601",52.924576,-1.490502
"1-10079446273",53.37105,-2.352568
"1-10079588350",54.836145,-1.358885
"1-10079610694",51.457851,-2.476056
"1-10079739981",51.411487,-0.049149
"1-10079773849",53.384286,-2.969951
"1-10080272165",53.618771,-0.205325
"1-542942591",53.618771,-0.205325
